,country_code,code_year,Country,Continent,year,One.person,Couple.only,Couple.with.children,Single.parent.with.children,Single.mother.with.children,Single.father.with.children,Extended.family,Non.relatives,Unknown,relative_parental_care,no_adult_male,no_adult_female,annual_ASR,NO_MALE,NO_FEMALE,ASR.15.49,GDP_per_capita,PD,mean_years_of_schooling,unemployment_rate,unemployment_rate_full,median.age_full,median.age,Main.religion
1,4,4_2015,Afghanistan,Asia,2015,0.189425072,1.971131262,49.80374429,0.991703601,0.777358117,0.214345483,46.85553086,0.187438125,0.001026789,0.559506801,9780.527,9189.269,0.515584195,8345.752,7717.838,0.519544635,578.4663529,52.7120715,3.6,1.35,1.35,17.2,17.2,Islam
2,8,8_2009,Albania,Europe,2009,6.147267864,16.7152215,42.25352214,6.697951106,5.916963041,0.780988065,27.86158563,0.324451755,0,0.879454459,1132.926,1151.574,0.495918582,743.151,763.336,0.493300639,4114.140114,106.8437591,9.3,NA,1.05,29.1,NA,Islam
3,8,8_2011,Albania,Europe,2011,8.274421193,14.51398523,45.4018071,5.163223318,NA,NA,NA,NA,26.64656316,NA,1146.195,1153.604,0.498389207,737.586,738.357,0.499738811,4437.142885,106.0290146,10,1.04,1.04,32.2,NA,Islam
4,8,8_2017,Albania,Europe,2017,9.954362876,22.57251094,35.85734603,6.531731471,5.436417095,1.095314376,24.40014506,0.68390362,0,0.695773982,1193.961,1170.221,0.505020764,730.589,682.826,0.516896311,4531.020806,104.8706934,10.1,0.86,0.86,34.9,NA,Islam
5,24,24_2007,Angola,Africa,2007,4.082941892,4.325671635,36.34630545,6.577286017,5.603898995,0.973387022,47.84678987,0.724164299,0.096840842,0.760204747,5465.412,5616.442,0.493185707,4664.522,4752.177,0.495345768,3121.995637,16.7685594,4.5,NA,0.6,16.4,NA,Christianity
6,24,24_2011,Angola,Africa,2011,6.603705049,5.346870695,45.01339976,7.426275553,6.217724579,1.208550974,35.02592637,0.550744841,0.033077727,0.711366508,6286.765,6515.178,0.491078971,5357.453,5510.373,0.492964554,4615.468028,19.42781824,4.7,1.1,1.1,16.4,NA,Christianity
7,24,24_2016,Angola,Africa,2016,10.81314627,5.342771967,36.07924017,13.38797385,12.14285344,1.245120409,32.80437967,1.567381409,0.005106664,0.989109401,7471.9,7799.248,0.489282142,6350.06,6579.972,0.49110938,3506.072885,23.13506377,5.1,1.1,1.1,16.4,NA,Christianity
8,31,31_1999,Azerbaijan,Asia,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2613.341,2874.814,0.476178424,2100.316,2228.034,0.485246341,573.8932966,96.52076658,10.5,NA,1.16,24.6,NA,Islam
9,31,31_2006,Azerbaijan,Asia,2006,6.502189973,7.086653245,43.72478395,9.680004486,8.968485293,0.711519193,32.95304228,0.033248503,0.02007756,1.100532481,3104.391,3331.263,0.482373819,2480.72,2577.73,0.490411094,2473.081819,102.6725317,10.7,NA,1.01,27.1,NA,Islam
10,31,31_2009,Azerbaijan,Asia,2009,6.766349797,3.515826706,44.00521957,8.395619906,NA,NA,NA,NA,37.31698402,NA,3313.496,3535.188,0.483814993,2599.148,2678.721,0.492461636,4950.294791,108.2912905,10.5,NA,1.01,27.1,NA,Islam
11,32,32_2001,Argentina,South America,2001,14.88346843,12.17460432,40.68645598,10.12672927,8.363397087,1.763332179,19.457195,2.671547002,0,0.676048584,12757.512,14007.283,0.476652707,9012.646,9356.696,0.490635212,7208.371567,13.62070677,9.1,NA,1.17,27.6,NA,Christianity
